id,question_vi,kanji,choices,answer,explanation_vi
39,"""電話"" có nghĩa là gì?",電話,1) điện thoại;2) điện;3) ti vi;4) máy tính,1,"""電話"" nghĩa là ""điện thoại"""
40,"""パソコン"" có nghĩa là gì?",パソコン,1) điện thoại;2) máy chiếu;3) máy tính;4) máy in,3,"""パソコン"" nghĩa là ""máy tính"""
41,"""テレビ"" có nghĩa là gì?",テレビ,1) ti vi;2) điện thoại;3) máy tính;4) máy ảnh,1,"""テレビ"" nghĩa là ""ti vi"""
42,"""カメラ"" có nghĩa là gì?",カメラ,1) máy ảnh;2) máy in;3) ti vi;4) máy quét,1,"""カメラ"" nghĩa là ""máy ảnh"""
43,"""冷蔵庫"" có nghĩa là gì?",冷蔵庫,1) máy giặt;2) lò vi sóng;3) tủ lạnh;4) bếp,3,"""冷蔵庫"" nghĩa là ""tủ lạnh"""
44,"""洗濯機"" có nghĩa là gì?",洗濯機,1) tủ lạnh;2) máy giặt;3) bếp;4) máy rửa bát,2,"""洗濯機"" nghĩa là ""máy giặt"""
45,"""電子レンジ"" có nghĩa là gì?",電子レンジ,1) nồi cơm điện;2) lò vi sóng;3) bếp điện;4) bếp ga,2,"""電子レンジ"" nghĩa là ""lò vi sóng"""
46,"""炊飯器"" có nghĩa là gì?",炊飯器,1) bếp ga;2) lò vi sóng;3) nồi cơm điện;4) bếp điện,3,"""炊飯器"" nghĩa là ""nồi cơm điện"""
47,"""エアコン"" có nghĩa là gì?",エアコン,1) quạt;2) máy sưởi;3) máy lọc khí;4) máy điều hòa,4,"""エアコン"" nghĩa là ""máy điều hòa"""
48,"""扇風機"" có nghĩa là gì?",扇風機,1) máy điều hòa;2) máy sưởi;3) máy lọc khí;4) quạt,4,"""扇風機"" nghĩa là ""quạt"""
49,"""布団"" có nghĩa là gì?",布団,1) gối;2) mền;3) ga giường;4) chăn đệm,4,"""布団"" nghĩa là ""chăn đệm"""
50,"""皿"" có nghĩa là gì?",皿,1) đĩa;2) cốc;3) bát;4) chảo,1,"""皿"" nghĩa là ""đĩa"""
51,"""茶碗"" có nghĩa là gì?",茶碗,1) đĩa;2) đũa;3) bát;4) muỗng,3,"""茶碗"" nghĩa là ""bát"""
52,"""箸"" có nghĩa là gì?",箸,1) muỗng;2) nĩa;3) dao;4) đũa,4,"""箸"" nghĩa là ""đũa"""
53,"""スプーン"" có nghĩa là gì?",スプーン,1) đũa;2) nĩa;3) dao;4) muỗng,4,"""スプーン"" nghĩa là ""muỗng"""
54,"""フォーク"" có nghĩa là gì?",フォーク,1) muỗng;2) đũa;3) nĩa;4) dao,3,"""フォーク"" nghĩa là ""nĩa"""
55,"""包丁"" có nghĩa là gì?",包丁,1) nĩa;2) dao làm bếp;3) muỗng;4) đũa,2,"""包丁"" nghĩa là ""dao làm bếp"""
56,"""米"" có nghĩa là gì?",米,1) gạo;2) ngô;3) mì;4) bánh mì,1,"""米"" nghĩa là ""gạo"""
57,"""パン"" có nghĩa là gì?",パン,1) mì;2) bánh mì;3) cơm;4) bánh,2,"""パン"" nghĩa là ""bánh mì"""
58,"""肉"" có nghĩa là gì?",肉,1) trứng;2) thịt;3) cá;4) rau,2,"""肉"" nghĩa là ""thịt"""
59,"""魚"" có nghĩa là gì?",魚,1) thịt;2) rau;3) cá;4) trứng,3,"""魚"" nghĩa là ""cá"""
60,"""卵"" có nghĩa là gì?",卵,1) rau;2) thịt;3) trứng;4) cá,3,"""卵"" nghĩa là ""trứng"""
61,"""野菜"" có nghĩa là gì?",野菜,1) trứng;2) thịt;3) rau;4) cơm,3,"""野菜"" nghĩa là ""rau"""
62,"""果物"" có nghĩa là gì?",果物,1) thịt;2) trái cây;3) rau;4) cá,2,"""果物"" nghĩa là ""trái cây"""
63,"""水"" có nghĩa là gì?",水,1) nước trái cây;2) nước;3) sữa;4) trà,2,"""水"" nghĩa là ""nước"""
64,"""お茶"" có nghĩa là gì?",お茶,1) nước;2) cà phê;3) trà;4) nước trái cây,3,"""お茶"" nghĩa là ""trà"""
65,"""コーヒー"" có nghĩa là gì?",コーヒー,1) sữa;2) nước trái cây;3) trà;4) cà phê,4,"""コーヒー"" nghĩa là ""cà phê"""
66,"""牛乳"" có nghĩa là gì?",牛乳,1) nước;2) sữa;3) trà;4) cà phê,2,"""牛乳"" nghĩa là ""sữa"""
67,"""砂糖"" có nghĩa là gì?",砂糖,1) nước mắm;2) muối;3) tiêu;4) đường,4,"""砂糖"" nghĩa là ""đường"""
68,"""塩"" có nghĩa là gì?",塩,1) muối;2) nước mắm;3) tiêu;4) đường,1,"""塩"" nghĩa là ""muối"""
69,"""醤油"" có nghĩa là gì?",醤油,1) đường;2) muối;3) nước tương;4) nước mắm,3,"""醤油"" nghĩa là ""nước tương"""
70,"""味噌"" có nghĩa là gì?",味噌,1) muối;2) đường;3) nước tương;4) miso,4,"""味噌"" nghĩa là ""miso"""
71,"""朝"" có nghĩa là gì?",朝,1) đêm;2) buổi sáng;3) trưa;4) tối,2,"""朝"" nghĩa là ""buổi sáng"""
72,"""昼"" có nghĩa là gì?",昼,1) tối;2) đêm;3) buổi trưa;4) sáng,3,"""昼"" nghĩa là ""buổi trưa"""
73,"""夜"" có nghĩa là gì?",夜,1) trưa;2) sáng;3) đêm;4) buổi tối,4,"""夜"" nghĩa là ""buổi tối"""
74,"""今"" có nghĩa là gì?",今,1) hôm qua;2) ngày mai;3) hôm nay;4) bây giờ,4,"""今"" nghĩa là ""bây giờ"""
75,"""今日"" có nghĩa là gì?",今日,1) hôm qua;2) ngày mai;3) hôm nay;4) bây giờ,3,"""今日"" nghĩa là ""hôm nay"""
76,"""昨日"" có nghĩa là gì?",昨日,1) ngày mai;2) hôm nay;3) hôm qua;4) bây giờ,3,"""昨日"" nghĩa là ""hôm qua"""
77,"""明日"" có nghĩa là gì?",明日,1) hôm qua;2) bây giờ;3) ngày mai;4) hôm nay,3,"""明日"" nghĩa là ""ngày mai"""
78,"""来週"" có nghĩa là gì?",来週,1) tuần trước;2) tuần này;3) tuần sau;4) tháng sau,3,"""来週"" nghĩa là ""tuần sau"""
79,"""先週"" có nghĩa là gì?",先週,1) tuần trước;2) tháng trước;3) tuần này;4) tuần sau,1,"""先週"" nghĩa là ""tuần trước"""
80,"""来月"" có nghĩa là gì?",来月,1) tháng trước;2) năm sau;3) tháng sau;4) tháng này,3,"""来月"" nghĩa là ""tháng sau"""
81,"""先月"" có nghĩa là gì?",先月,1) tháng này;2) năm trước;3) tháng sau;4) tháng trước,4,"""先月"" nghĩa là ""tháng trước"""
82,"""来年"" có nghĩa là gì?",来年,1) năm trước;2) năm sau;3) năm nay;4) năm kia,2,"""来年"" nghĩa là ""năm sau"""
83,"""去年"" có nghĩa là gì?",去年,1) năm nay;2) năm sau;3) năm trước;4) năm kia,3,"""去年"" nghĩa là ""năm trước"""
84,"""名前"" có nghĩa là gì?",名前,1) địa chỉ;2) nghề nghiệp;3) tuổi;4) tên,4,"""名前"" nghĩa là ""tên"""
85,"""住所"" có nghĩa là gì?",住所,1) tuổi;2) tên;3) địa chỉ;4) sở thích,3,"""住所"" nghĩa là ""địa chỉ"""
86,"""電話番号"" có nghĩa là gì?",電話番号,1) tên;2) số nhà;3) địa chỉ;4) số điện thoại,4,"""電話番号"" nghĩa là ""số điện thoại"""
87,"""国"" có nghĩa là gì?",国,1) quận;2) thành phố;3) đất nước;4) tỉnh,3,"""国"" nghĩa là ""đất nước"""
88,"""町"" có nghĩa là gì?",町,1) làng;2) quận;3) thị trấn;4) thành phố,3,"""町"" nghĩa là ""thị trấn"""
89,"""村"" có nghĩa là gì?",村,1) thành phố;2) thị trấn;3) làng;4) quận,3,"""村"" nghĩa là ""làng"""
90,"""空"" có nghĩa là gì?",空,1) sông;2) núi;3) biển;4) bầu trời,4,"""空"" nghĩa là ""bầu trời"""
91,"""海"" có nghĩa là gì?",海,1) sông;2) núi;3) biển;4) hồ,3,"""海"" nghĩa là ""biển"""
92,"""川"" có nghĩa là gì?",川,1) biển;2) núi;3) sông;4) hồ,3,"""川"" nghĩa là ""sông"""
93,"""山"" có nghĩa là gì?",山,1) biển;2) hồ;3) sông;4) núi,4,"""山"" nghĩa là ""núi"""
94,"""森"" có nghĩa là gì?",森,1) đồng cỏ;2) sa mạc;3) vườn;4) rừng,4,"""森"" nghĩa là ""rừng"""
95,"""花"" có nghĩa là gì?",花,1) cành;2) hoa;3) lá;4) gốc,2,"""花"" nghĩa là ""hoa"""
96,"""雨"" có nghĩa là gì?",雨,1) mưa;2) nắng;3) tuyết;4) gió,1,"""雨"" nghĩa là ""mưa"""
97,"""雪"" có nghĩa là gì?",雪,1) gió;2) mưa;3) tuyết;4) nắng,3,"""雪"" nghĩa là ""tuyết"""
98,"""風"" có nghĩa là gì?",風,1) mưa;2) nắng;3) gió;4) tuyết,3,"""風"" nghĩa là ""gió"""
99,"""太陽"" có nghĩa là gì?",太陽,1) mặt trời;2) sao;3) mặt trăng;4) mây,1,"""太陽"" nghĩa là ""mặt trời"""
