id,question_vi,kanji,choices,answer,explanation_vi
67,Từ này đọc là gì?,昨日,1) きのう;2) きのうる;3) きの;4) きのo,1,"""昨日"" nghĩa là ""hôm qua"""
68,Từ này đọc là gì?,明日,1) あしだ;2) あじた;3) あし;4) あした,4,"""明日"" nghĩa là ""ngày mai"""
69,Từ này đọc là gì?,来週,1) らいしゅう;2) らいしゅo;3) らいしゅ;4) らいじゅう,1,"""来週"" nghĩa là ""tuần sau"""
70,Từ này đọc là gì?,先週,1) せんしゅ;2) せんしゅう;3) せんじゅう;4) せんしゅo,2,"""先週"" nghĩa là ""tuần trước"""
71,Từ này đọc là gì?,来月,1) らいげつこ;2) らいげつら;3) らいげ;4) らいげつ,4,"""来月"" nghĩa là ""tháng sau"""
72,Từ này đọc là gì?,先月,1) せんげつこ;2) せんげつ;3) せんげ;4) せんげつん,2,"""先月"" nghĩa là ""tháng trước"""
73,Từ này đọc là gì?,来年,1) らいね;2) らいねんら;3) らいねん;4) らいねむ,3,"""来年"" nghĩa là ""năm sau"""
74,Từ này đọc là gì?,去年,1) きょねん;2) きょねんん;3) きょねむ;4) きょね,1,"""去年"" nghĩa là ""năm ngoái"""
75,Từ này đọc là gì?,先生方,1) せんせいかた;2) せんせいがだ;3) せんせいが;4) せんせいがた,4,"""先生方"" nghĩa là ""các thầy/cô"""
76,Từ này đọc là gì?,学生証,1) がくせいしょo;2) がくせいじょう;3) がくせいしょう;4) かくせいしょう,3,"""学生証"" nghĩa là ""thẻ sinh viên"""
77,Từ này đọc là gì?,友達,1) ともたち;2) ともだち;3) ともだ;4) ともだちる,2,"""友達"" nghĩa là ""bạn bè"""
78,Từ này đọc là gì?,名前,1) なまえ;2) なま;3) なまえこ;4) なまえん,1,"""名前"" nghĩa là ""tên"""
79,Từ này đọc là gì?,国,1) くに;2) くにる;3) くにん;4) くにこ,1,"""国"" nghĩa là ""đất nước"""
80,Từ này đọc là gì?,外国,1) がいこ;2) がいこくら;3) がいこく;4) かいこく,3,"""外国"" nghĩa là ""nước ngoài"""
81,Từ này đọc là gì?,内,1) うちら;2) oち;3) うち;4) うちん,3,"""内"" nghĩa là ""bên trong"""
82,Từ này đọc là gì?,外,1) そとん;2) そと;3) そとん;4) そとこ,2,"""外"" nghĩa là ""bên ngoài"""
83,Từ này đọc là gì?,前,1) まえる;2) まえる;3) まえこ;4) まえ,4,"""前"" nghĩa là ""trước"""
84,Từ này đọc là gì?,後,1) うしろ;2) うし;3) oしろ;4) うじろ,1,"""後"" nghĩa là ""sau"""
85,Từ này đọc là gì?,新,1) あたら;2) あだら;3) あた;4) あたらん,1,"""新"" nghĩa là ""mới"""
86,Từ này đọc là gì?,古,1) ふるこ;2) ふるん;3) ふるこ;4) ふる,4,"""古"" nghĩa là ""cũ"""
87,Từ này đọc là gì?,高,1) たか;2) たが;3) たかこ;4) だか,1,"""高"" nghĩa là ""cao/đắt"""
88,Từ này đọc là gì?,安,1) やすん;2) やすん;3) やす;4) やず,3,"""安"" nghĩa là ""rẻ"""
89,Từ này đọc là gì?,多,1) おおる;2) おおる;3) おお;4) おおる,3,"""多"" nghĩa là ""nhiều"""
90,Từ này đọc là gì?,少,1) すくら;2) ずく;3) すくこ;4) すく,4,"""少"" nghĩa là ""ít"""
91,Từ này đọc là gì?,早,1) はや;2) はやこ;3) はやこ;4) はやこ,1,"""早"" nghĩa là ""sớm/nhanh"""
92,Từ này đọc là gì?,遅,1) おそら;2) おそ;3) おそる;4) おそこ,2,"""遅"" nghĩa là ""muộn/chậm"""
93,Từ này đọc là gì?,白,1) しろる;2) しろ;3) しろら;4) じろ,2,"""白"" nghĩa là ""trắng"""
94,Từ này đọc là gì?,黒,1) くろこ;2) くろん;3) くろこ;4) くろ,4,"""黒"" nghĩa là ""đen"""
95,Từ này đọc là gì?,赤,1) あかこ;2) あが;3) あかる;4) あか,4,"""赤"" nghĩa là ""đỏ"""
96,Từ này đọc là gì?,青,1) あお;2) あおん;3) あおこ;4) あおる,1,"""青"" nghĩa là ""xanh"""
97,Từ này đọc là gì?,花,1) はな;2) はなん;3) はなる;4) はなん,1,"""花"" nghĩa là ""hoa"""
98,Từ này đọc là gì?,森,1) もりる;2) もりる;3) もりる;4) もり,4,"""森"" nghĩa là ""rừng"""
99,Từ này đọc là gì?,林,1) はやし;2) はやしる;3) はや;4) はやじ,1,"""林"" nghĩa là ""bụi cây/rừng nhỏ"""
100,Từ này đọc là gì?,道,1) みちこ;2) みちこ;3) みち;4) みちん,3,"""道"" nghĩa là ""đường"""
